link,text,category,product
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-double-petal-earrings-white-gold,"Monsoon Double Petal 
Earrings - White Gold",earrings,monsoon-double-petal-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-tsavorite-chandelier-earrings,Monsoon Tsavorite Chandelier Earrings,earrings,monsoon-tsavorite-chandelier-earrings
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-cicada-earrings-yellow-gold,Monsoon Cicada Earrings - Yellow Gold,earrings,monsoon-cicada-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-double-petal-earrings-yellow-gold,"Monsoon Double Petal 
Earrings - Yellow Gold",earrings,monsoon-double-petal-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-budding-flower-earrings-white-gold,"Monsoon Budding Flower 
Earrings - White Gold",earrings,monsoon-budding-flower-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-single-petal-earrings-white-gold,"Monsoon Single Petal 
Earrings - White Gold",earrings,monsoon-single-petal-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/grace-earrings-white-gold,Grace Earrings - White Gold,earrings,grace-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/grace-earrings-yellow-gold,Grace Earrings - Yellow Gold,earrings,grace-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/rockpool-clam-shell-earrings-white-gold,"Rockpool Clam Shell 
Earrings - White Gold",earrings,rockpool-clam-shell-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/rockpool-clam-shell-earrings-yellow-gold,"Rockpool Clam Shell 
Earrings - Yellow Gold",earrings,rockpool-clam-shell-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/dolce-earrings-white-gold,Dolce Earrings - White Gold,earrings,dolce-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/dew-drop-earrings-platinum,Dew Drop Earrings - Platinum,earrings,dew-drop-earrings-platinum
https://www.paspaley.com/jewellery/pearl-earrings/dew-drop-earrings-yellow-gold,Dew Drop Earrings - Yellow Gold,earrings,dew-drop-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-ruby-earrings-yellow-gold,Touchstone Ruby Earrings - Yellow Gold,earrings,touchstone-ruby-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-black-diamond-earrings-white-gold,"Touchstone Black Diamond 
Earrings - White Gold",earrings,touchstone-black-diamond-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-irukandji-earrings-white-gold,Maxima Irukandji Earrings - White Gold,earrings,maxima-irukandji-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-black-studs-white-gold,Maxima Black Studs - White Gold,earrings,maxima-black-studs-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/rockpool-pave-shell-earrings-white-gold,"Rockpool Pave Shell 
Earrings - White Gold",earrings,rockpool-pave-shell-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/rockpool-pave-shell-earrings-yellow-gold,"Rockpool Pave Shell 
Earrings - Yellow Gold",earrings,rockpool-pave-shell-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/rockpool-paraiba-earrings-platinum,Rockpool Paraiba Earrings - Platinum,earrings,rockpool-paraiba-earrings-platinum
https://www.paspaley.com/jewellery/pearl-earrings/rockpool-cluster-earrings-platinum,Rockpool Cluster Earrings - Platinum,earrings,rockpool-cluster-earrings-platinum
https://www.paspaley.com/jewellery/pearl-earrings/maxima-pearls-my-way-earrings-yellow-gold,"Maxima Pearls My Way 
Earrings - Yellow Gold",earrings,maxima-pearls-my-way-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-stud-earrings-yellow-gold,Maxima Stud Earrings - Yellow Gold,earrings,maxima-stud-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-pearl-earrings-white-gold,Maxima Pearl Earrings - White Gold,earrings,maxima-pearl-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-10mm-oval-earrings-white-gold,"Pearls My Way 10mm Oval 
Earrings - White Gold",earrings,pearls-my-way-10mm-oval-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-10mm-circle-earrings-yellow-gold,"Pearls My Way 10mm Circle 
Earrings - Yellow Gold",earrings,pearls-my-way-10mm-circle-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-diamond-earrings-12mm-oval-white-gold,"Pearls My Way Diamond 
Earrings 12mm Oval  - White Gold",earrings,pearls-my-way-diamond-earrings-12mm-oval-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-diamond-earrings-10mm-oval-yellow-gold,"Pearls My Way Diamond 
Earrings 10mm Oval - Yellow Gold",earrings,pearls-my-way-diamond-earrings-10mm-oval-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-pave-earrings-13mm-round-white-gold,"Pearls My Way Pave 
Earrings 13mm Round - White Gold",earrings,pearls-my-way-pave-earrings-13mm-round-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/diamond-touchstone-earrings-14mm-baroque-white-gold,"Diamond Touchstone 
Earrings 14mm Baroque  - White Gold",earrings,diamond-touchstone-earrings-14mm-baroque-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/diamond-touchstone-earrings-12mm-oval-yellow-gold,"Diamond Touchstone 
Earrings 12mm Oval  - Yellow Gold",earrings,diamond-touchstone-earrings-12mm-oval-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-pearls-my-way-rose-gold,Maxima Pearls My Way – Rose Gold,earrings,maxima-pearls-my-way-rose-gold
https://www.paspaley.com/jewellery/pearl-earrings/maxima-studs-rose-gold,Maxima Studs – Rose Gold,earrings,maxima-studs-rose-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-circle-rose-gold,Lavalier Circlé - Rose Gold,necklaces,lavalier-circle-rose-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-petite-diamond-rose-gold,Lavalier Petite Diamond - Rose Gold,necklaces,lavalier-petite-diamond-rose-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-petite-circle-yellow-gold,Lavalier Petite Circlé - Yellow Gold,necklaces,lavalier-petite-circle-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-petite-circle-white-gold,Lavalier Petite Circlé - White Gold,necklaces,lavalier-petite-circle-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-opal-hero-rose-gold,Lavalier Opal Hero - Rose Gold,necklaces,lavalier-opal-hero-rose-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-circle-yellow-gold,Lavalier Circlé - Yellow Gold,necklaces,lavalier-circle-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-circle-white-gold,Lavalier Circlé - White Gold,necklaces,lavalier-circle-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/grace-pendant-rose-gold,Grace Pendant - Rose Gold,necklaces,grace-pendant-rose-gold
https://www.paspaley.com/jewellery/pearl-necklaces/large-grace-pendant-white-gold,Large Grace Pendant - White Gold,necklaces,large-grace-pendant-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/grace-pendant-white-gold,Grace Pendant - White Gold,necklaces,grace-pendant-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/grace-pendant-yellow-gold,Grace Pendant - Yellow Gold,necklaces,grace-pendant-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/oval-bella-petite-pendant-yellow-gold,Oval Bella Petite Pendant - Yellow Gold,necklaces,oval-bella-petite-pendant-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/bella-pendant-white-gold,Bella Pendant - White Gold,necklaces,bella-pendant-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/circle-bella-petite-pendant-yellow-gold,"Circlé Bella Petite 
Pendant - Yellow Gold",necklaces,circle-bella-petite-pendant-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/oval-bella-petite-pendant-white-gold,Oval Bella Petite Pendant - White Gold,necklaces,oval-bella-petite-pendant-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/circle-bella-petite-pendant-white-gold,Circlé Bella Petite Pendant - White Gold,necklaces,circle-bella-petite-pendant-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/large-grace-pendant-yellow-gold,Large Grace Pendant - Yellow Gold,necklaces,large-grace-pendant-yellow-gold
