link,text,category,product,year
https://www.paspaley.com/jewellery/pearl-bracelets/night-sky-silk-bracelet-circle,Night Sky Silk Bracelet - Circle,bracelet,night-sky-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/wetsuit-black-silk-bracelet-semi-round,Wetsuit Black Silk Bracelet - Semi Round,bracelet,wetsuit-black-silk-bracelet-semi-round,2021
https://www.paspaley.com/jewellery/pearl-bracelets/wetsuit-black-silk-bracelet-circle,Wetsuit Black Silk Bracelet - Circle,bracelet,wetsuit-black-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-chain-bracelet-yellow-gold,Maxima Chain Bracelet - Yellow Gold,bracelet,maxima-chain-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-chain-bracelet-white-gold,Maxima Chain Bracelet - White Gold,bracelet,maxima-chain-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-black-chain-bracelet,Maxima Black Chain Bracelet,bracelet,maxima-black-chain-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-bracelet-white-gold,Maxima Bracelet - White Gold,bracelet,maxima-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-bracelet-yellow-gold,Maxima Bracelet - Yellow Gold,bracelet,maxima-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-diamond-bracelet-yellow-gold,Maxima Diamond Bracelet - Yellow Gold,bracelet,maxima-diamond-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/maxima-diamond-bracelet-white-gold,Maxima Diamond Bracelet - White Gold,bracelet,maxima-diamond-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/rockpool-tanzanite-bracelet-platinum,Rockpool Tanzanite Bracelet - Platinum,bracelet,rockpool-tanzanite-bracelet-platinum,2021
https://www.paspaley.com/jewellery/pearl-bracelets/monsoon-wildflower-cuff-yellow-gold,Monsoon Wildflower Cuff - Yellow Gold,bracelet,monsoon-wildflower-cuff-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/dive-clasp-yellow-gold,Dive Clasp - Yellow Gold,clasps,dive-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/megisti-lapis-clasp,MEGISTI LAPIS CLASP,clasps,megisti-lapis-clasp,2021
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-sapphire-clasp-yellow-gold,Touchstone Sapphire Clasp - Yellow Gold,clasps,touchstone-sapphire-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-sapphire-clasp-white-gold,Touchstone Sapphire Clasp - White Gold,clasps,touchstone-sapphire-clasp-white-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/monsoon-budding-flower-clasp-yellow-gold,Monsoon Budding Flower Clasp - Yellow Gold,clasps,monsoon-budding-flower-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/monsoon-budding-flower-clasp-white-gold,Monsoon Budding Flower Clasp - White Gold,clasps,monsoon-budding-flower-clasp-white-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-mother-of-pearl-clasp-yellow-gold,Rockpool Mother-of-Pearl Clasp - Yellow Gold,clasps,rockpool-mother-of-pearl-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-mother-of-pearl-clasp-white-gold,Rockpool Mother-of-Pearl Clasp - White Gold,clasps,rockpool-mother-of-pearl-clasp-white-gold,2021
