sku,collection,category,price_in_2017,price_in_2018,change,product.x,percent_change,product.y
C11R08WPR10,Other,Rings,3980,3980,0,pearl-rings-pave-cherish-ring-white-gold,0,pearl-rings-pave-cherish-ring-white-gold
C11R08YPR10,Other,Rings,3980,3980,0,pearl-rings-pave-cherish-ring-yellow-gold,0,pearl-rings-pave-cherish-ring-yellow-gold
C11R10WKQ10,Other,Rings,3180,3280,3.14,pearl-rings-keshi-eternity-ring-white-gold,3.14,pearl-rings-keshi-eternity-ring-white-gold
C11R10YKQ10,Other,Rings,3180,3280,3.14,pearl-rings-keshi-eternity-ring-yellow-gold,3.14,pearl-rings-keshi-eternity-ring-yellow-gold
C12C01W1580,Other,Accessories,1290,1290,0,pearl-accessories-long-trace-chain-white-gold,0,pearl-accessories-long-trace-chain-white-gold
CSRB01SPC11,Kimberley,Bracelets,680,680,0,pearl-bracelets-kimberley-bracelet-petite-circle-pearl,0,pearl-bracelets-kimberley-bracelet-petite-circle-pearl
CSRB01SPC13,Kimberley,Bracelets,980,980,0,pearl-bracelets-kimberley-bracelet-circle-pearl,0,pearl-bracelets-kimberley-bracelet-circle-pearl
CSRB02XPC12,Kimberley,Bracelets,1480,1680,13.51,pearl-bracelets-kimberley-onyx-bracelet-circle-pearl,13.51,pearl-bracelets-kimberley-onyx-bracelet-circle-pearl
DC16E02WPO10,Pearls My Way,Earrings,3780,4160,10.05,pearl-earrings-pearls-my-way-10mm-oval-earrings-white-gold,10.05,pearl-earrings-pearls-my-way-10mm-oval-earrings-white-gold
DC16E02YPC10,Pearls My Way,Earrings,2430,2460,1.23,pearl-earrings-pearls-my-way-10mm-circle-earrings-yellow-gold,1.23,pearl-earrings-pearls-my-way-10mm-circle-earrings-yellow-gold
DC16E06WX17AE11,Rockpool,Earrings,14160,14560,2.82,pearl-earrings-rockpool-clam-shell-earrings-white-gold,2.82,pearl-earrings-rockpool-clam-shell-earrings-white-gold
